,Лига,Клуб,Имя,Номер игрока,Возраст,Позиция,Сыгранные матчи,Играл в основном составе,Завершенные матчи,Начинал со скамейки,Провел игру на скамейке,Кол-во минут,Желтые карточки,Красные карточки,Голы
0,Premier League,Liverpool,Alisson,1,27,Вратарь,29,29,27,0,0,2545,0,1,-23
1,Premier League,Liverpool,Alexander-Arnold,66,21,Правый защитник,38,35,31,3,0,3176,5,0,4
2,Premier League,Liverpool,Robertson,26,25,Левый защитник,36,34,30,2,0,3113,2,0,2
3,Premier League,Liverpool,Van Dijk,4,28,Центральный защитник,38,38,38,0,0,3420,1,0,5
4,Premier League,Liverpool,Joe Gomez,12,22,Центральный защитник,28,22,21,6,9,2000,7,0,0
5,Premier League,Liverpool,Wijnaldum,5,29,Полузащитник,37,35,20,2,0,2948,0,0,4
6,Premier League,Liverpool,Henderson,14,29,Полузащитник,30,26,16,4,1,2244,2,0,4
7,Premier League,Liverpool,Fabinho,3,26,Полузащитник,28,22,21,6,2,2074,6,0,2
8,Premier League,Liverpool,Firmino,9,28,Нападающий,38,34,14,4,0,3003,0,0,9
9,Premier League,Liverpool,Salah,11,27,Нападающий,34,33,20,1,3,2888,1,0,19
10,Premier League,Liverpool,Mané,10,27,Нападающий,35,31,19,4,1,2755,3,0,18
11,Premier League,Liverpool,Adrián,13,32,Вратарь,11,9,9,2,27,873,1,0,-10
12,Premier League,Liverpool,Oxlade-Chamberlain,15,26,Полузащитник,30,17,0,13,4,1490,1,0,4
13,Premier League,Liverpool,Origi,27,24,Нападающий,28,7,0,21,9,706,1,0,4
14,Premier League,Liverpool,Milner,7,33,Полузащитник,22,9,7,13,5,926,4,0,2
15,Premier League,Liverpool,Keïta,8,24,Полузащитник,18,9,1,9,9,814,1,0,2
16,Premier League,Liverpool,Kelleher,62,21,Вратарь,0,0,0,0,7,0,0,0,0
17,Premier League,Liverpool,Lovren,6,30,Центральный защитник,10,9,8,1,10,777,1,0,0
18,Premier League,Liverpool,Lallana,20,31,Полузащитник,15,3,0,12,11,374,1,0,1
19,Premier League,Liverpool,Matip,32,28,Центральный защитник,9,8,7,1,7,704,0,0,1
20,Premier League,Liverpool,Minamino,18,24,Нападающий,10,2,0,8,7,243,0,0,0
21,Premier League,Liverpool,Shaqiri,23,28,Полузащитник,7,2,1,5,10,182,0,0,1
22,Premier League,Liverpool,Williams,76,18,Правый защитник,6,3,0,3,9,231,1,0,0
23,Premier League,Liverpool,Jones,48,18,Полузащитник,6,1,0,5,10,122,0,0,1
24,Premier League,Liverpool,Elliott,67,16,Полузащитник,2,0,0,2,10,7,0,0,0
25,Premier League,Liverpool,Lonergan,22,36,Вратарь,0,0,0,0,2,0,0,0,0
26,Premier League,Liverpool,Phillips,47,22,Центральный защитник,0,0,0,0,2,0,0,0,0
27,Premier League,Liverpool,Brewster,24,19,Центральный нападающий,0,0,0,0,1,0,0,0,0
28,Premier League,Liverpool,Hoever,51,17,Центральный защитник,0,0,0,0,1,0,0,0,0
29,Premier League,Liverpool,Varešanović,45,18,Полузащитник,0,0,0,0,0,0,0,0,0
30,Premier League,Liverpool,Mignolet,22,31,Вратарь,0,0,0,0,0,0,0,0,0
31,Premier League,Liverpool,Clyne,2,28,Правый защитник,0,0,0,0,0,0,0,0,0
32,Premier League,Liverpool,Kent,40,23,Полузащитник,0,0,0,0,0,0,0,0,0
33,Premier League,Liverpool,Chirivella,68,22,Полузащитник,0,0,0,0,0,0,0,0,0
